municipality_code,municipality_name,comarca_code,comarca_name,reference_period,touches_coast,distance_to_coast_km,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
171674,Sant Joan de les Abadesses,31,Ripollès,2026-02,false,68.21007,25.5585,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,25.5585,25.5585,100,,official,default,true
171680,Sant Joan de Mollet,20,Gironès,2026-02,false,17.550917,70.3971,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,70.3971,70.3971,100,,official,default,true
171693,Sant Julià de Ramis,20,Gironès,2026-02,false,25.694961,59.8159,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,59.8159,59.8159,100,,official,default,true
171707,Vallfogona de Ripollès,31,Ripollès,2026-02,false,66.593382,26.3984,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,26.3984,26.3984,100,,official,default,true
171714,Sant Llorenç de la Muga,02,Alt Empordà,2026-02,false,29.076396,55.9044,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,55.9044,55.9044,100,,official,default,true
171729,Sant Martí de Llémena,20,Gironès,2026-02,false,40.620643,44.3786,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,44.3786,44.3786,100,,official,default,true
171735,Sant Martí Vell,20,Gironès,2026-02,false,19.972234,67.0692,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,67.0692,67.0692,100,,official,default,true
171740,Sant Miquel de Campmajor,28,Pla de l'Estany,2026-02,false,35.949686,48.7242,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,48.7242,48.7242,100,,official,default,true
171753,Sant Miquel de Fluvià,02,Alt Empordà,2026-02,false,9.90116,82.0351,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,82.0351,82.0351,100,,official,default,true
171766,Sant Mori,02,Alt Empordà,2026-02,false,10.131495,81.658,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,81.658,81.658,100,,official,default,true
171772,Sant Pau de Segúries,31,Ripollès,2026-02,false,61.846904,29.0272,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,29.0272,29.0272,100,,official,default,true
171788,Sant Pere Pescador,02,Alt Empordà,2026-02,true,2.392733,100,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,100,100,100,,official,default,true
171805,Santa Coloma de Farners,34,Selva,2026-02,false,23.388889,62.6393,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,62.6393,62.6393,100,,official,default,true
171812,Santa Cristina d'Aro,10,Baix Empordà,2026-02,true,4.601013,100,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,100,100,100,,official,default,true
171827,Santa Llogaia d'Àlguema,02,Alt Empordà,2026-02,false,13.50669,76.3277,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,76.3277,76.3277,100,,official,default,true
171833,Sant Aniol de Finestres,19,Garrotxa,2026-02,false,42.463873,42.7724,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,42.7724,42.7724,100,,official,default,true
171848,Santa Pau,19,Garrotxa,2026-02,false,44.754774,40.8569,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,40.8569,40.8569,100,,official,default,true
171851,Sant Joan les Fonts,19,Garrotxa,2026-02,false,49.413054,37.2223,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,37.2223,37.2223,100,,official,default,true
171864,Sarrià de Ter,20,Gironès,2026-02,false,27.515428,57.6772,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,57.6772,57.6772,100,,official,default,true
