municipality_code,municipality_name,comarca_code,comarca_name,province_code,province_name,territorial_area_code,territorial_area_name,capital_lat,capital_lon,area_km2,geometry_source_date
082107,Sant Feliu de Codines,41,Vallès Oriental,08,Barcelona,01,Barcelona,41.688845,2.16408,15.0199,
082114,Sant Feliu de Llobregat,11,Baix Llobregat,08,Barcelona,01,Barcelona,41.3809,2.045552,11.9548,
082129,Sant Feliu Sasserra,07,Bages,08,Barcelona,07,Catalunya Central,41.944378,2.022429,23.0713,
082135,Sant Fruitós de Bages,07,Bages,08,Barcelona,07,Catalunya Central,41.750831,1.873697,22.1395,
082140,Vilassar de Dalt,21,Maresme,08,Barcelona,01,Barcelona,41.517205,2.358406,9.0122,
082153,Sant Hipòlit de Voltregà,24,Osona,08,Barcelona,07,Catalunya Central,42.015333,2.236422,0.941,
082166,Sant Jaume de Frontanyà,14,Berguedà,08,Barcelona,07,Catalunya Central,42.187287,2.02379,21.271,
082172,Sant Joan Despí,11,Baix Llobregat,08,Barcelona,01,Barcelona,41.367027,2.05604,6.2232,
082188,Sant Joan de Vilatorrada,07,Bages,08,Barcelona,07,Catalunya Central,41.745485,1.804859,16.4246,
082191,Vilassar de Mar,21,Maresme,08,Barcelona,01,Barcelona,41.502293,2.3926,3.9929,
082205,Sant Julià de Vilatorta,24,Osona,08,Barcelona,07,Catalunya Central,41.921926,2.325099,16.1837,
082212,Sant Just Desvern,11,Baix Llobregat,08,Barcelona,01,Barcelona,41.385986,2.075766,7.7758,
082227,Sant Llorenç d'Hortons,03,Alt Penedès,08,Barcelona,08,Penedès,41.467115,1.824509,19.4175,
082233,Sant Llorenç Savall,40,Vallès Occidental,08,Barcelona,01,Barcelona,41.678725,2.05831,41.2835,
082248,Sant Martí de Centelles,24,Osona,08,Barcelona,07,Catalunya Central,41.765624,2.204583,25.8741,
082251,Sant Martí d'Albars,43,Lluçanès,08,Barcelona,07,Catalunya Central,42.028267,2.073873,14.6311,
082264,Sant Martí de Tous,06,Anoia,08,Barcelona,08,Penedès,41.559869,1.524537,38.9412,
082270,Sant Martí Sarroca,03,Alt Penedès,08,Barcelona,08,Penedès,41.38477,1.611535,35.2108,
082286,Sant Martí Sesgueioles,06,Anoia,08,Barcelona,07,Catalunya Central,41.702306,1.488299,3.8636,
082299,Sant Mateu de Bages,07,Bages,08,Barcelona,07,Catalunya Central,41.796653,1.732732,102.1706,
082303,Premià de Dalt,21,Maresme,08,Barcelona,01,Barcelona,41.507274,2.341978,6.4649,
082310,Sant Pere de Ribes,17,Garraf,08,Barcelona,08,Penedès,41.262268,1.772091,40.8368,
082325,Sant Pere de Riudebitlles,03,Alt Penedès,08,Barcelona,08,Penedès,41.454024,1.702994,5.4686,
082331,Sant Pere de Torelló,24,Osona,08,Barcelona,07,Catalunya Central,42.075015,2.296791,54.9573,
082346,Sant Pere de Vilamajor,41,Vallès Oriental,08,Barcelona,01,Barcelona,41.684148,2.388374,34.3674,
082359,Sant Pol de Mar,21,Maresme,08,Barcelona,01,Barcelona,41.60021,2.621423,7.459,
082362,Sant Quintí de Mediona,03,Alt Penedès,08,Barcelona,08,Penedès,41.462181,1.662972,13.836,
082378,Sant Quirze de Besora,24,Osona,08,Barcelona,07,Catalunya Central,42.100159,2.222831,8.1521,
082384,Sant Quirze del Vallès,40,Vallès Occidental,08,Barcelona,01,Barcelona,41.533104,2.080789,14.0723,
082397,Sant Quirze Safaja,42,Moianès,08,Barcelona,07,Catalunya Central,41.727989,2.155008,25.845,
082401,Sant Sadurní d'Anoia,03,Alt Penedès,08,Barcelona,08,Penedès,41.424097,1.786539,18.9414,
082418,Sant Sadurní d'Osormort,24,Osona,08,Barcelona,07,Catalunya Central,41.901918,2.381486,30.6645,
082423,Marganell,07,Bages,08,Barcelona,07,Catalunya Central,41.640967,1.789319,13.3455,
082439,Santa Cecília de Voltregà,24,Osona,08,Barcelona,07,Catalunya Central,41.993142,2.222287,8.8051,
082444,Santa Coloma de Cervelló,11,Baix Llobregat,08,Barcelona,01,Barcelona,41.367404,2.015794,7.4108,
082457,Santa Coloma de Gramenet,13,Barcelonès,08,Barcelona,01,Barcelona,41.451786,2.208136,7.0396,
082460,Santa Eugènia de Berga,24,Osona,08,Barcelona,07,Catalunya Central,41.900188,2.283162,6.9798,
082476,Santa Eulàlia de Riuprimer,24,Osona,08,Barcelona,07,Catalunya Central,41.911011,2.18812,13.8908,
082482,Santa Eulàlia de Ronçana,41,Vallès Oriental,08,Barcelona,01,Barcelona,41.652489,2.22954,14.1295,
082495,Santa Fe del Penedès,03,Alt Penedès,08,Barcelona,08,Penedès,41.384545,1.720947,3.376,
082508,Santa Margarida de Montbui,06,Anoia,08,Barcelona,08,Penedès,41.575157,1.607754,27.603,
082515,Santa Margarida i els Monjos,03,Alt Penedès,08,Barcelona,08,Penedès,41.322391,1.663444,17.4384,
082520,Barberà del Vallès,40,Vallès Occidental,08,Barcelona,01,Barcelona,41.516083,2.124596,8.2016,
082536,Santa Maria de Besora,24,Osona,08,Barcelona,07,Catalunya Central,42.126812,2.257911,24.914,
082541,l'Esquirol,24,Osona,08,Barcelona,07,Catalunya Central,42.034828,2.370095,61.7969,
082554,Santa Maria de Merlès,14,Berguedà,08,Barcelona,07,Catalunya Central,42.001016,1.978038,51.1588,
082567,Santa Maria de Martorelles,41,Vallès Oriental,08,Barcelona,01,Barcelona,41.519617,2.25326,4.4597,
082573,Santa Maria de Miralles,06,Anoia,08,Barcelona,08,Penedès,41.518079,1.52499,25.3206,
082589,Santa Maria d'Oló,42,Moianès,08,Barcelona,07,Catalunya Central,41.87382,2.035605,66.0811,
082592,Santa Maria de Palautordera,41,Vallès Oriental,08,Barcelona,01,Barcelona,41.693238,2.445888,16.952,
