municipality_code,municipality_name,comarca_code,comarca_name,reference_period,avg_monthly_rent_eur,avg_sale_price_eur,gross_yield_proxy_pct,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
081923,Santpedor,07,Bages,2025,594.03,183480,3.885088,25.9016,85,municipality,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,25.9016,25.9016,100,,official,default,true
081939,Sant Iscle de Vallalta,21,Maresme,2025,729.46,,,,0,missing,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
081944,Sant Adrià de Besòs,13,Barcelonès,2025,915.11,244043.19,4.499744,41.7655,85,municipality,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,41.7655,41.7655,100,,official,default,true
081957,Sant Agustí de Lluçanès,24,Osona,2025,,,,,0,missing,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
081960,Sant Andreu de la Barca,11,Baix Llobregat,2025,762.72,207687,4.406939,39.3703,85,municipality,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,39.3703,39.3703,100,,official,default,true
081976,Sant Andreu de Llavaneres,21,Maresme,2025,1163.47,384318.13,3.632834,19.3911,85,municipality,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,19.3911,19.3911,100,,official,default,true
081982,Sant Antoni de Vilamajor,41,Vallès Oriental,2025,810.46,276662.18,3.515305,16.3578,85,municipality,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,16.3578,16.3578,100,,official,default,true
081995,Sant Bartomeu del Grau,24,Osona,2025,,,,,0,missing,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
082009,Sant Boi de Llobregat,11,Baix Llobregat,2025,814.66,219245.34,4.458895,40.7112,85,municipality,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,40.7112,40.7112,100,,official,default,true
082016,Sant Boi de Lluçanès,24,Osona,2025,,,,,0,missing,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
082021,Sant Celoni,41,Vallès Oriental,2025,690,190202.17,4.353263,37.9849,85,municipality,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,37.9849,37.9849,100,,official,default,true
082037,Sant Cebrià de Vallalta,21,Maresme,2025,1108.04,220766.03,6.022883,81.0768,85,municipality,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,81.0768,81.0768,100,,official,default,true
082042,Sant Climent de Llobregat,11,Baix Llobregat,2025,954.13,264705.23,4.3254,37.2658,85,municipality,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,37.2658,37.2658,100,,official,default,true
082055,Sant Cugat del Vallès,40,Vallès Occidental,2025,1427.23,585612.77,2.924588,1.1117,85,municipality,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,1.1117,1.1117,100,,official,default,true
082068,Sant Cugat Sesgarrigues,03,Alt Penedès,2025,,,,,0,missing,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,missing_dependency,,engineering_pending,0,100,0,,official,default,false
082074,Sant Esteve de Palautordera,41,Vallès Oriental,2025,750.47,375470.59,2.398494,0,85,municipality,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,0,0,100,,official,default,true
082080,Sant Esteve Sesrovires,11,Baix Llobregat,2025,933.32,287366.53,3.897406,26.2196,85,municipality,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,26.2196,26.2196,100,,official,default,true
082093,Sant Fost de Campsentelles,41,Vallès Oriental,2025,942.86,330080.28,3.427748,14.098,85,municipality,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,14.098,14.098,100,,official,default,true
082107,Sant Feliu de Codines,41,Vallès Oriental,2025,669.45,200146.52,4.01376,29.2226,85,municipality,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,29.2226,29.2226,100,,official,default,true
082114,Sant Feliu de Llobregat,11,Baix Llobregat,2025,946.16,257103.84,4.416083,39.6063,85,municipality,gencat_incasol_qww9-bvhh;gencat_housing_sales_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,39.6063,39.6063,100,,official,default,true
