municipality_code,municipality_name,comarca_code,comarca_name,reference_period,price_eur_m2_current,price_eur_m2_1y_ago,price_eur_m2_3y_ago,growth_1y_pct,cagr_3y_pct,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
080919,Gelida,03,Alt Penedès,2022-2025,1958.39,1731.56,1520.08,13.099748,8.812197,85.001,90,municipality,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,85.001,85.001,100,,official,default,true
080924,Gironella,14,Berguedà,2022-2025,915.05,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080930,Gisclareny,14,Berguedà,2022-2025,,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080945,la Granada,03,Alt Penedès,2022-2025,1830.76,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080958,Granera,42,Moianès,2022-2025,,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080961,Granollers,41,Vallès Oriental,2022-2025,2483.99,2276.73,2146.57,9.103407,4.986856,53.5569,90,municipality,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,53.5569,53.5569,100,,official,default,true
080977,Gualba,41,Vallès Oriental,2022-2025,,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080983,Sant Salvador de Guardiola,07,Bages,2022-2025,2045.43,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080996,Guardiola de Berguedà,14,Berguedà,2022-2025,,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
081000,Gurb,24,Osona,2022-2025,3783.59,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
081017,l'Hospitalet de Llobregat,13,Barcelonès,2022-2025,2948.98,2633.34,2594.41,11.986299,4.362484,48.4246,90,municipality,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,48.4246,48.4246,100,,official,default,true
081022,Igualada,06,Anoia,2022-2025,1606.92,1595.75,1399.82,0.699984,4.706591,51.2532,90,municipality,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,51.2532,51.2532,100,,official,default,true
081038,Jorba,06,Anoia,2022-2025,,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
081043,la Llacuna,06,Anoia,2022-2025,,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
081056,la Llagosta,41,Vallès Oriental,2022-2025,2293.37,2057.95,1976.66,11.439539,5.078545,54.3106,90,municipality,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,54.3106,54.3106,100,,official,default,true
